11939625327685590781954--ArrayDecl,1193962532768559078195487428--arr
11959107612678569335675623979708169304--ExprList,1195910761267856933567562397970816930414736---
11959107612678569393402440317510--ExprList,1195910761267856939340244031751056362--+
1196593858434434263--InitList,119659385843443426332645--40
119591072836647409---,11959107283664740978937--1
119431315835618600153810--Decl,11943131583561860015381061746--ArrayDecl
11956509510831856532171856497--l,1195650951083185653217185649769918--int
119396253--FuncDecl,11939625362728--binarySearch
119455992390444454--&&,11945599239044445484706--<
11956509510831856535363710080--r,1195650951083185653536371008061916--int
119591076126785693356756239797081--FuncCall,11959107612678569335675623979708169304--ExprList
11939625362728--binarySearch,1193962536272856220--int
11959107612678569393402440317510--ExprList,1195910761267856939340244031751090294--arr
119565095108318565321718--Decl,11956509510831856532171856497--l
11965938520938--Return,119659385209387783--0
11959107612678569355414299721493--ArrayRef,1195910761267856935541429972149393756--arr
1193962532768598973--Typename,119396253276859897346153--None
119431315835618600180417--Decl,11943131583561860018041775557--x
11945599239044445484706--<,1194559923904444548470686843--i
1195910761267856939340244031751056362--+,119591076126785693934024403175105636275882--1
1196593858434434263--InitList,119659385843443426316690--10
11945599239682306871782533070--ExprList,1194559923968230687178253307055430--i
11961380468618--FuncDecl,1196138046861878181--ParamList
1196593857466754791069---,119659385746675479106921106--1
119659385746672289573635--ExprList,11965938574667228957363574124--result
119659385746675479--==,1196593857466754791069---
119591076126785693356753898-->,11959107612678569335675389878233--x
119659385940458446828256--ExprList,11965938594045844682825632603--x
1196593857466722895--FuncCall,119659385746672289528618--printf
119591076126785693554142997--==,11959107612678569355414299748635--x
11959107612678569380937--Decl,1195910761267856938093782972--mid
11945599239682306871782533070--ExprList,1194559923968230687178253307098721---
119455992--Compound,11945599234664--Decl
119431315--Decl,11943131583561--FuncDecl
1195650951083185653--ParamList,119565095108318565381315--Decl
1--FileAST,1195--FuncDef
119455992396823068717825--ExprList,11945599239682306871782580760--/
119659385--Compound,11965938584344--Decl
11956509510831--FuncDecl,1195650951083193661--binarySearch
1194559923968230687178253307098721---,119455992396823068717825330709872189407--n
1194559923904444549894492109--ArrayRef,11945599239044445498944921093873--i
119565095108318565381315--Decl,11956509510831856538131512929--x
11943131583561--FuncDecl,1194313158356113418--exponentialSearch
119659385904466166037167--sizeof,11965938590446616603716732505--arr
11945599239044--While,1194559923904499070--=
11945599217402676775495--ArrayRef,1194559921740267677549564850--0
1196138046861878181--ParamList,119613804686187818141155--Typename
119455992390449907028420--*,11945599239044990702842080001--i
1193962532768559078195487428--arr,119396253276855907819548742825661--int
119396253--FuncDecl,11939625327685--ParamList
11959107612678569335675--If,119591076126785693356753898-->
1195910761267856933567562397970816930414736---,11959107612678569335675623979708169304147365981--mid
11959107612678569335675389876094--ArrayRef,1195910761267856933567538987609411475--arr
11965938574667--TernaryOp,1196593857466722895--FuncCall
1194559921740--If,119455992174026767--==
11945599234664--Decl,1194559923466474144--1
11965938590446616608621094099--ArrayRef,1196593859044661660862109409931177--0
119659385746675479--==,11965938574667547966637--result
119659385940458446828256--ExprList,11965938594045844682825629350--arr
119659385904466166086210--sizeof,11965938590446616608621094099--ArrayRef
1194--FuncDef,119431315--Decl
119396253276857134999902--None,11939625327685713499990298750--int
1195910761267856933567562397--Return,119591076126785693356756239797081--FuncCall
119455992--Compound,11945599239682--Return
119565095108318565353637--Decl,11956509510831856535363710080--r
1193--Decl,119396253--FuncDecl
119455992--Compound,1194559921740--If
11956509510831856538131512929--x,1195650951083185653813151292938415--int
1195650951083185653--ParamList,119565095108318565353637--Decl
119591076126785693934024403--FuncCall,11959107612678569393402440395782--binarySearch
1194559923904444549894492109--ArrayRef,119455992390444454989449210916461--arr
119565095108318565389680299360779--arr,1195650951083185653896802993607797222--int
119591076126785693356753898-->,11959107612678569335675389876094--ArrayRef
119591076126785693934024403--FuncCall,11959107612678569393402440317510--ExprList
1195--FuncDef,119565095--Decl
1196593857466722895--FuncCall,119659385746672289573635--ExprList
1196593857466761659--FuncCall,119659385746676165939348--ExprList
1--FileAST,1194--FuncDef
11945599239044445498944--<=,1194559923904444549894492109--ArrayRef
11965938590446616608621094099--ArrayRef,1196593859044661660862109409929228--arr
11945599217406435--Return,1194559921740643559996--0
1196--FuncDef,119613804--Decl
11959107612678569355414--If,1195910761267856935541421332--Return
1195910761267856938093791484--+,119591076126785693809379148445310--/
1193962532768571349--Typename,119396253276857134999902--None
119455992396823068717825--ExprList,11945599239682306871782561926--arr
11945599239682306871782580760--/,1194559923968230687178258076090110--2
119431315835618600130705--Decl,11943131583561860013070587756--n
1196--FuncDef,119659385--Compound
1194559921740--If,11945599217406435--Return
1194313158356113418--exponentialSearch,119431315835611341834485--int
119455992396823068717825--ExprList,11945599239682306871782533070--ExprList
119591076126752817-->=,11959107612675281744442--l
11939625327685--ParamList,1193962532768598973--Typename
11945599239682--Return,1194559923968230687--FuncCall
119613804686187818141155--Typename,11961380468618781814115580719--None
11961380468618781814115580719--None,1196138046861878181411558071957166--void
1196593858434470788--ArrayDecl,119659385843447078885737--arr
11959107--Compound,1195910761267--If
1196593859404584468--FuncCall,119659385940458446828256--ExprList
1195--FuncDef,11959107--Compound
119659385--Compound,11965938520938--Return
1194559923968230687--FuncCall,119455992396823068717825--ExprList
119613804--Decl,11961380468618--FuncDecl
119659385--Compound,11965938590446--Decl
11945599239044445498944--<=,1194559923904444549894413850--x
11959107612678569335675623979708169304--ExprList,1195910761267856933567562397970816930492568--x
1196593859044661660--/,119659385904466166086210--sizeof
11943131583561--FuncDecl,1194313158356186001--ParamList
1196138046861899784--main,119613804686189978412866--int
1196593859404551895--result,119659385940455189568788--int
11959107612678569380937--Decl,1195910761267856938093791484--+
1194559923968230687--FuncCall,119455992396823068721183--binarySearch
11959107612678569393402440317510--ExprList,1195910761267856939340244031751087464--x
11961380468618--FuncDecl,1196138046861899784--main
11959107612678569380937914844531022969---,1195910761267856938093791484453102296945005--r
1194313158356186001--ParamList,119431315835618600180417--Decl
1196593859044621786--n,119659385904462178647028--int
119455992174026767--==,11945599217402676735269--x
119591076126785693--Compound,1195910761267856939340--Return
119565095108318565389680--Decl,1195650951083185653896802993--ArrayDecl
1195910761267856938093782972--mid,119591076126785693809378297210363--int
11939625327685--ParamList,119396253276855907--Decl
1195910761267--If,119591076126752817-->=
11959107612678569393402440317510--ExprList,1195910761267856939340244031751092028--r
1196593859044661660--/,119659385904466166037167--sizeof
1195910761267856935541421332--Return,119591076126785693554142133294275--mid
11945599234664--Decl,1194559923466458434--i
11965938594045--Decl,1196593859404584468--FuncCall
119455992390444454--&&,11945599239044445498944--<=
1194559923466458434--i,119455992346645843496940--int
1195650951083185653--ParamList,119565095108318565321718--Decl
1195650951083185653896802993--ArrayDecl,119565095108318565389680299360779--arr
119659385746676165939348--ExprList,11965938574667616593934831271--"Element is not present in array"
11965938534386--Decl,1196593853438610781--10
11939625327685--ParamList,1193962532768566291--Typename
119455992390449907028420--*,11945599239044990702842060270--2
1195650951083185653--ParamList,119565095108318565389680--Decl
119455992--Compound,11945599239044--While
