11944418251339419466709451011--n,1194441825133941946670945101123251--int
11931762246836341930842--<,119317622468363419308428191--y
1194992958645515524477026590879224501498962523600--ArrayRef,119499295864551552447702659087922450149896252360035227--jumps
11949929586455--For,1194992958645515524--Compound
1--FileAST,1195--FuncDef
119499295864551552447702659087922450149--Compound,11949929586455155244770265908792245014989625--=
119317622468363419--TernaryOp,11931762246836341912437--y
11949929586455--For,1194992958645575160--<
119499295864551552457702--=,11949929586455155245770266683--2147483647
1195314325859974193--size,119531432585997419313656--int
119499295864551552447702659087922450149896257499940326--ExprList,11949929586455155244770265908792245014989625749994032664493--ArrayRef
119499295864551552447702659087922487084408878347063763--ArrayRef,11949929586455155244770265908792248708440887834706376385991--j
11949929514673482963238---,1194992951467348296323842888--n
1194992958645515524477026590879224--If,119499295864551552447702659087922487084--&&
1194992956144--=,119499295614437512--ArrayRef
119499295--Compound,1194992951467--Return
1194992958645515524477026590879224870847011535778--ArrayRef,119499295864551552447702659087922487084701153577831882--j
1195314325859982108--/,119531432585998210897938--sizeof
11949929586455155244770215001--++,1194992958645515524477021500119404--j
1194992959553928255--i,119499295955392825584439--int
11949929586455155244770265908--Compound,1194992958645515524477026590879224--If
11953143231406436438558562081--ExprList,1195314323140643643855856208188730--size
11956010961478--FuncDecl,1195601096147854242--main
119499295--Compound,11949929520084--Decl
1195314325859982108--/,119531432585998210814542--sizeof
11949929586455155245770230268--ArrayRef,1194992958645515524577023026839957--jumps
11944418251339--FuncDecl,1194441825133941946--ParamList
119499295864551552457702--=,11949929586455155245770230268--ArrayRef
11949929586455155244770265908792245014989625--=,1194992958645515524477026590879224501498962574999--FuncCall
11949929514673482963238---,1194992951467348296323844710--1
119531432--Compound,11953143227681--Decl
1194992958645515524477026590879224501498962574999--FuncCall,119499295864551552447702659087922450149896257499940326--ExprList
119499295--Compound,1194992956144--=
119499295864551552447702659087922450149--Compound,11949929586455155244770265908792245014996539--Break
1--FileAST,1193--FuncDef
11953143231406--FuncCall,1195314323140643643--ExprList
1195--FuncDef,119531432--Compound
1194441825133941946953579907974291--arr,119444182513394194695357990797429196235--int
11949929577696457485431975708--ArrayRef,1194992957769645748543197570848214--arr
119531432314064364385585--FuncCall,11953143231406436438558562081--ExprList
119531432276818456025373--arr,11953143227681845602537335394--int
1--FileAST,1194--FuncDef
119499295776964574815142--==,1194992957769645748151422942--0
119499295--Compound,11949929595539--Decl
1195314322768184560--ArrayDecl,119531432276818456025373--arr
1194992956144--=,119499295614488659--0
11953143258599--Decl,1195314325859974193--size
119531432585998210897938--sizeof,11953143258599821089793833284--arr
1194992951467--Return,119499295146734829--ArrayRef
119499295614437512--ArrayRef,11949929561443751259939--0
1194992958645515524477026590879224501498962523600--ArrayRef,119499295864551552447702659087922450149896252360071717--i
1193745882177055668--ParamList,119374588217705566823208--Decl
11949929586455155244770215672--=,1194992958645515524477021567212339--j
1194992952008491598--ArrayDecl,119499295200849159827790--n
119499295776964574815142--==,11949929577696457481514270520--n
1194992958645515524--Compound,119499295864551552457702--=
1195601096147854242--main,119560109614785424237076--int
1194--FuncDef,119499295--Compound
119499295200849159820766--jumps,11949929520084915982076632995--int
11953143258599--Decl,1195314325859982108--/
1194992958645575160--<,119499295864557516039548--n
1194992958645539083--++,119499295864553908331191--i
1193--FuncDef,119317622--Compound
11953143227681--Decl,1195314322768189354--InitList
119499295614437512--ArrayRef,11949929561443751220682--jumps
119499295864551552447702659087922487084408878347063763--ArrayRef,11949929586455155244770265908792248708440887834706376391799--arr
1193745882177055668--ParamList,119374588217705566887651--Decl
11944418251339419469535799079--ArrayDecl,1194441825133941946953579907974291--arr
1195314323140643643--ExprList,11953143231406436435278--"Minimum number of jumps to reach end is %d "
119499295146734829--ArrayRef,11949929514673482990658--jumps
11949929586455155244770265908792248708440887--<=,1194992958645515524477026590879224870844088799052--i
11937458821770556688765111048--x,1193745882177055668876511104813787--int
1194992957769645748--||,119499295776964574815142--==
119531432585998210814542888096988--None,1195314325859982108145428880969887351--int
11949929577696457485431975708--ArrayRef,1194992957769645748543197570897218--0
11949929586455155244770215672--=,1194992958645515524477021567261451--0
1194992958645515524--Compound,119499295864551552447702--For
1194992958645515524477026590879224870847011535778--ArrayRef,11949929586455155244770265908792248708470115357786101--jumps
11949929586455155244770265908792245014989625749994032664493--ArrayRef,1194992958645515524477026590879224501498962574999403266449378000--jumps
119317622--Compound,1193176224683--Return
1195314322768189354--InitList,119531432276818935488604--0
11931762246836341930842--<,1193176224683634193084227553--x
1194992952008491598--ArrayDecl,119499295200849159820766--jumps
1194992958645515524477026590879224501498962574999403266287960342--ArrayRef,11949929586455155244770265908792245014989625749994032662879603424079--jumps
1193176224683--Return,119317622468363419--TernaryOp
119499295776964574854319--==,11949929577696457485431995144--0
119531432--Compound,11953143231406--FuncCall
119499295864551552447702--For,11949929586455155244770215001--++
