1193511358186433384--min_l,119351135818643338441157--int
1193511357333939264870646610--=,11935113573339392648706466109603--r
119351135733393926487065458856766--=,11935113573339392648706545885676632514--sum
119351135733398023412418---,11935113573339802341241857805--arr_size
1194--FuncDef,119421839--Decl
11935113539578--FuncCall,1193511353957834933--printf
1193511357333939264870654588567669937536076--ArrayRef,119351135733393926487065458856766993753607632347--r
11935113539578731484260--ArrayRef,1193511353957873148426078611--arr
1193511357205236631--min_sum,119351135720523663194582--int
1193511359691517438--inv_count,119351135969151743850113--int
119484726--Compound,11948472614020--Return
1193511357333939264870654588294005917046049--=,119351135733393926487065458829400591704604973902--min_r
1194847265925439499--InitList,119484726592543949935368---
119362518195739223228899--Decl,11936251819573922322889933091--arr_size
119362518--Decl,11936251819573--FuncDecl
1194--FuncDef,119484726--Compound
1--FileAST,1194--FuncDef
119351135--Compound,11935113539578--FuncCall
11935113596915--Decl,1193511359691542114--0
119484726592543949935368---,11948472659254394993536837609--80
119362518195739223225150--Decl,11936251819573922322515074731--ArrayDecl
119421839--Decl,119421839809--FuncDecl
119351135733393926487065458829400851739998--FuncCall,11935113573339392648706545882940085173999844924--ExprList
11935113575015--If,1193511357501582038--Compound
119351135--Compound,119351135107--Decl
119351135395787314--ExprList,11935113539578731484260--ArrayRef
1193511357333939264870646610--=,119351135733393926487064661073803--+
11935113539578--FuncCall,119351135395787314--ExprList
119351135733393926487065458829400851739998--FuncCall,11935113573339392648706545882940085173999856153--abs
1193511357333980234--<,119351135733398023480891--l
