1--Module,11--If
112324092245106016842249984--Subscript,11232409224510601684224998453435--Index
11232409224510601684224998453435--Index,1123240922451060168422499845343515892--i
1123240922451060168422499845343515892--i,112324092245106016842249984534351589266281--Load
112324092245106016842249984--Subscript,11232409224510601684224998428987--Load
1123240922451060168422--Compare,112324092245106016842295057--GtE
1123240922451060168422--Compare,11232409224510601684229747--0
11232409224510601--BoolOp,1123240922451060139129--Compare
1123240922451060139129--Compare,112324092245106013912958762--Subscript
112324092245106013912958762--Subscript,11232409224510601391295876253391--arr
11232409224510601391295876253391--arr,1123240922451060139129587625339163541--Load
112324092245106013912958762--Subscript,11232409224510601391295876241321--Index
11232409224510601391295876241321--Index,1123240922451060139129587624132111596--i
1123240922451060139129587624132111596--i,112324092245106013912958762413211159675296--Load
112324092245106013912958762--Subscript,11232409224510601391295876299528--Load
1123240922451060139129--Compare,112324092245106013912912293--NotEq
1123240922451060139129--Compare,112324092245106013912917141--i
112324092245106013912917141--i,11232409224510601391291714113678--Load
112324092245--If,11232409224536681--Assign
11232409224536681--Assign,1123240922453668160134--Tuple
1123240922453668160134--Tuple,112324092245366816013411989--Subscript
112324092245366816013411989--Subscript,11232409224536681601341198989163--arr
11232409224536681601341198989163--arr,112324092245366816013411989891633348--Load
112324092245366816013411989--Subscript,11232409224536681601341198920097--Index
11232409224536681601341198920097--Index,1123240922453668160134119892009727230--Subscript
1123240922453668160134119892009727230--Subscript,112324092245366816013411989200972723084876--arr
112324092245366816013411989200972723084876--arr,11232409224536681601341198920097272308487695275--Load
1123240922453668160134119892009727230--Subscript,112324092245366816013411989200972723099171--Index
112324092245366816013411989200972723099171--Index,11232409224536681601341198920097272309917156703--i
11232409224536681601341198920097272309917156703--i,11232409224536681601341198920097272309917156703444--Load
1123240922453668160134119892009727230--Subscript,112324092245366816013411989200972723098286--Load
112324092245366816013411989--Subscript,11232409224536681601341198939106--Store
1123240922453668160134--Tuple,112324092245366816013454767--Subscript
112324092245366816013454767--Subscript,11232409224536681601345476747176--arr
11232409224536681601345476747176--arr,1123240922453668160134547674717699793--Load
112324092245366816013454767--Subscript,11232409224536681601345476785883--Index
11232409224536681601345476785883--Index,1123240922453668160134547678588395558--i
1123240922453668160134547678588395558--i,112324092245366816013454767858839555824823--Load
112324092245366816013454767--Subscript,11232409224536681601345476747305--Store
1123240922453668160134--Tuple,112324092245366816013411976--Store
11232409224536681--Assign,112324092245366818648--Tuple
112324092245366818648--Tuple,11232409224536681864831678--Subscript
11232409224536681864831678--Subscript,1123240922453668186483167860270--arr
1123240922453668186483167860270--arr,112324092245366818648316786027087862--Load
11232409224536681864831678--Subscript,112324092245366818648316781385--Index
112324092245366818648316781385--Index,11232409224536681864831678138515093--i
11232409224536681864831678138515093--i,112324092245366818648316781385150931310--Load
11232409224536681864831678--Subscript,1123240922453668186483167819413--Load
112324092245366818648--Tuple,11232409224536681864812471--Subscript
11232409224536681864812471--Subscript,1123240922453668186481247132879--arr
1123240922453668186481247132879--arr,112324092245366818648124713287970530--Load
11232409224536681864812471--Subscript,1123240922453668186481247131181--Index
1123240922453668186481247131181--Index,11232409224536681864812471311814022--Subscript
11232409224536681864812471311814022--Subscript,1123240922453668186481247131181402295195--arr
1123240922453668186481247131181402295195--arr,112324092245366818648124713118140229519587725--Load
11232409224536681864812471311814022--Subscript,1123240922453668186481247131181402299926--Index
1123240922453668186481247131181402299926--Index,112324092245366818648124713118140229992620882--i
112324092245366818648124713118140229992620882--i,11232409224536681864812471311814022999262088272888--Load
11232409224536681864812471311814022--Subscript,1123240922453668186481247131181402212247--Load
11232409224536681864812471--Subscript,1123240922453668186481247113552--Load
112324092245366818648--Tuple,11232409224536681864825312--Load
112324092245--If,11232409224546142--AugAssign
11232409224546142--AugAssign,1123240922454614250198--i
1123240922454614250198--i,112324092245461425019890624--Store
11232409224546142--AugAssign,1123240922454614214104--Add
11232409224546142--AugAssign,1123240922454614233564--1
11--If,1115107--For
1115107--For,111510711133--i
111510711133--i,11151071113364789--Store
1115107--For,111510781399--Call
111510781399--Call,11151078139981933--range
11151078139981933--range,111510781399819334410--Load
111510781399--Call,11151078139929474--n
11151078139929474--n,111510781399294748120--Load
1115107--For,111510744666--Expr
111510744666--Expr,11151074466620186--Call
11151074466620186--Call,1115107446662018683346--print
1115107446662018683346--print,111510744666201868334634301--Load
11151074466620186--Call,1115107446662018675724--Subscript
1115107446662018675724--Subscript,111510744666201867572437668--arr
111510744666201867572437668--arr,11151074466620186757243766854529--Load
1115107446662018675724--Subscript,11151074466620186757244293--Index
11151074466620186757244293--Index,1115107446662018675724429337947--i
1115107446662018675724429337947--i,111510744666201867572442933794732450--Load
1115107446662018675724--Subscript,111510744666201867572434371--Load
11151074466620186--Call,111510744666201864649--keyword
111510744666201864649--keyword,11151074466620186464964821-- 
