1--CompilationUnit,11--ClassDeclaration
111108921166284844839155644--MemberReference,11110892116628484483915564457661--right
11110892116628484--ForControl,1111089211662848495061--MemberReference
1111089211662848495061--MemberReference,111108921166284849506179026--++
1111089211662848495061--MemberReference,111108921166284849506184728--i
111108921166--ForStatement,1111089211665778--IfStatement
1111089211665778--IfStatement,111108921166577872673--BinaryOperation
111108921166577872673--BinaryOperation,11110892116657787267380446--==
111108921166577872673--BinaryOperation,11110892116657787267319830--MemberReference
11110892116657787267319830--MemberReference,111108921166577872673198306579--ArraySelector
111108921166577872673198306579--ArraySelector,11110892116657787267319830657968441--MemberReference
11110892116657787267319830657968441--MemberReference,11110892116657787267319830657968441562--i
11110892116657787267319830--MemberReference,1111089211665778726731983055999--arr
111108921166577872673--BinaryOperation,11110892116657787267320525--MemberReference
11110892116657787267320525--MemberReference,1111089211665778726732052560207--element
1111089211665778--IfStatement,11110892116657788262--StatementExpression
11110892116657788262--StatementExpression,1111089211665778826271232--MemberReference
1111089211665778826271232--MemberReference,111108921166577882627123221941--++
1111089211665778826271232--MemberReference,111108921166577882627123249811--count
1111089--MethodDeclaration,11110895984--ReturnStatement
11110895984--ReturnStatement,1111089598435825--MemberReference
1111089598435825--MemberReference,11110895984358251553--count
11--ClassDeclaration,1184003--MethodDeclaration
1184003--MethodDeclaration,118400373201--set
118400373201--set,1184003732016170--public
118400373201--set,11840037320126324--static
1184003--MethodDeclaration,118400385572--main
1184003--MethodDeclaration,118400331772--FormalParameter
118400331772--FormalParameter,11840033177235415--ReferenceType
11840033177235415--ReferenceType,1184003317723541529928--String
118400331772--FormalParameter,11840033177220051--args
1184003--MethodDeclaration,118400348868--LocalVariableDeclaration
118400348868--LocalVariableDeclaration,11840034886847148--BasicType
11840034886847148--BasicType,1184003488684714889239--int
118400348868--LocalVariableDeclaration,11840034886863846--VariableDeclarator
11840034886863846--VariableDeclarator,1184003488686384685869--arr
11840034886863846--VariableDeclarator,1184003488686384644590--ArrayInitializer
1184003488686384644590--ArrayInitializer,118400348868638464459062539--Literal
118400348868638464459062539--Literal,11840034886863846445906253948474--2
1184003488686384644590--ArrayInitializer,118400348868638464459091438--Literal
118400348868638464459091438--Literal,11840034886863846445909143892821--8
1184003488686384644590--ArrayInitializer,118400348868638464459067779--Literal
118400348868638464459067779--Literal,11840034886863846445906777976056--6
1184003488686384644590--ArrayInitializer,118400348868638464459055584--Literal
118400348868638464459055584--Literal,11840034886863846445905558461344--9
1184003488686384644590--ArrayInitializer,118400348868638464459080189--Literal
118400348868638464459080189--Literal,11840034886863846445908018965938--8
1184003488686384644590--ArrayInitializer,118400348868638464459040027--Literal
118400348868638464459040027--Literal,11840034886863846445904002725343--6
1184003488686384644590--ArrayInitializer,118400348868638464459056543--Literal
118400348868638464459056543--Literal,11840034886863846445905654351647--8
1184003488686384644590--ArrayInitializer,118400348868638464459045628--Literal
118400348868638464459045628--Literal,11840034886863846445904562842887--2
1184003488686384644590--ArrayInitializer,118400348868638464459055217--Literal
118400348868638464459055217--Literal,11840034886863846445905521710228--11
1184003--MethodDeclaration,118400344822--LocalVariableDeclaration
118400344822--LocalVariableDeclaration,11840034482240944--BasicType
11840034482240944--BasicType,1184003448224094462677--int
118400344822--LocalVariableDeclaration,11840034482268671--VariableDeclarator
11840034482268671--VariableDeclarator,1184003448226867174532--n
11840034482268671--VariableDeclarator,1184003448226867119296--MemberReference
1184003448226867119296--MemberReference,118400344822686711929697781--arr
1184003448226867119296--MemberReference,118400344822686711929638513--length
1184003--MethodDeclaration,118400372202--StatementExpression
118400372202--StatementExpression,1184003722028706--MethodInvocation
1184003722028706--MethodInvocation,118400372202870649836--System.out
1184003722028706--MethodInvocation,118400372202870667390--BinaryOperation
118400372202870667390--BinaryOperation,11840037220287066739045732--+
118400372202870667390--BinaryOperation,11840037220287066739053190--Literal
11840037220287066739053190--Literal,1184003722028706673905319085332--"Frequency of 2 from 1 to 6 = "
118400372202870667390--BinaryOperation,11840037220287066739078766--MethodInvocation
11840037220287066739078766--MethodInvocation,1184003722028706673907876668494--MemberReference
1184003722028706673907876668494--MemberReference,118400372202870667390787666849497693--arr
11840037220287066739078766--MethodInvocation,1184003722028706673907876678423--MemberReference
1184003722028706673907876678423--MemberReference,118400372202870667390787667842320006--n
11840037220287066739078766--MethodInvocation,1184003722028706673907876679884--Literal
1184003722028706673907876679884--Literal,118400372202870667390787667988464251--1
11840037220287066739078766--MethodInvocation,118400372202870667390787665894--Literal
118400372202870667390787665894--Literal,11840037220287066739078766589482706--6
11840037220287066739078766--MethodInvocation,1184003722028706673907876699789--Literal
1184003722028706673907876699789--Literal,118400372202870667390787669978967610--2
11840037220287066739078766--MethodInvocation,1184003722028706673907876692141--findFrequency
1184003722028706--MethodInvocation,118400372202870678133--println
1184003--MethodDeclaration,118400365419--StatementExpression
118400365419--StatementExpression,11840036541989549--MethodInvocation
11840036541989549--MethodInvocation,1184003654198954978281--System.out
11840036541989549--MethodInvocation,1184003654198954965261--BinaryOperation
1184003654198954965261--BinaryOperation,118400365419895496526156518--+
1184003654198954965261--BinaryOperation,118400365419895496526169435--Literal
118400365419895496526169435--Literal,11840036541989549652616943541035--"Frequency of 8 from 4 to 9 = "
1184003654198954965261--BinaryOperation,118400365419895496526135252--MethodInvocation
118400365419895496526135252--MethodInvocation,11840036541989549652613525284292--MemberReference
11840036541989549652613525284292--MemberReference,1184003654198954965261352528429269711--arr
118400365419895496526135252--MethodInvocation,11840036541989549652613525213631--MemberReference
11840036541989549652613525213631--MemberReference,1184003654198954965261352521363164796--n
118400365419895496526135252--MethodInvocation,11840036541989549652613525263143--Literal
11840036541989549652613525263143--Literal,1184003654198954965261352526314330733--4
118400365419895496526135252--MethodInvocation,11840036541989549652613525237152--Literal
11840036541989549652613525237152--Literal,118400365419895496526135252371521254--9
118400365419895496526135252--MethodInvocation,1184003654198954965261352529476--Literal
1184003654198954965261352529476--Literal,118400365419895496526135252947639654--8
118400365419895496526135252--MethodInvocation,11840036541989549652613525294557--findFrequency
11840036541989549--MethodInvocation,1184003654198954981567--println
