1--Module,11--If
1125560--For,112556033574--Call
112556033574--Call,11255603357419022--range
11255603357419022--range,1125560335741902234491--Load
112556033574--Call,11255603357448429--BinOp
11255603357448429--BinOp,1125560335744842923506--n
1125560335744842923506--n,112556033574484292350655504--Load
11255603357448429--BinOp,1125560335744842938717--Sub
11255603357448429--BinOp,1125560335744842927506--1
112556033574--Call,11255603357468512--UnaryOp
11255603357468512--UnaryOp,112556033574685124179--USub
11255603357468512--UnaryOp,1125560335746851297420--1
112556033574--Call,1125560335743152--UnaryOp
1125560335743152--UnaryOp,112556033574315232116--USub
1125560335743152--UnaryOp,112556033574315288158--1
1125560--For,112556035916--If
112556035916--If,11255603591656981--Compare
11255603591656981--Compare,1125560359165698176506--BinOp
1125560359165698176506--BinOp,112556035916569817650653977--i
112556035916569817650653977--i,11255603591656981765065397712684--Load
1125560359165698176506--BinOp,11255603591656981765062247--Mod
1125560359165698176506--BinOp,112556035916569817650684322--2
11255603591656981--Compare,1125560359165698137936--NotEq
11255603591656981--Compare,1125560359165698135812--0
112556035916--If,11255603591650291--Assign
11255603591650291--Assign,1125560359165029115688--Subscript
1125560359165029115688--Subscript,112556035916502911568865564--a
112556035916502911568865564--a,1125560359165029115688655641662--Load
1125560359165029115688--Subscript,112556035916502911568886483--Index
112556035916502911568886483--Index,11255603591650291156888648330562--i
11255603591650291156888648330562--i,1125560359165029115688864833056248374--Load
1125560359165029115688--Subscript,112556035916502911568897621--Store
11255603591650291--Assign,1125560359165029172271--Subscript
1125560359165029172271--Subscript,112556035916502917227182017--b
112556035916502917227182017--b,11255603591650291722718201744404--Load
1125560359165029172271--Subscript,112556035916502917227194577--Index
112556035916502917227194577--Index,11255603591650291722719457723724--q
11255603591650291722719457723724--q,1125560359165029172271945772372497306--Load
1125560359165029172271--Subscript,11255603591650291722711069--Load
112556035916--If,11255603591675321--AugAssign
11255603591675321--AugAssign,1125560359167532175067--q
1125560359167532175067--q,11255603591675321750679307--Store
11255603591675321--AugAssign,1125560359167532118793--Sub
11255603591675321--AugAssign,1125560359167532130144--1
112556035916--If,11255603591690473--Assign
11255603591690473--Assign,1125560359169047372980--Subscript
1125560359169047372980--Subscript,112556035916904737298058223--a
112556035916904737298058223--a,11255603591690473729805822382467--Load
1125560359169047372980--Subscript,112556035916904737298080382--Index
112556035916904737298080382--Index,112556035916904737298080382474--i
112556035916904737298080382474--i,11255603591690473729808038247426652--Load
1125560359169047372980--Subscript,11255603591690473729802669--Store
11255603591690473--Assign,1125560359169047362921--Subscript
1125560359169047362921--Subscript,112556035916904736292138976--b
112556035916904736292138976--b,11255603591690473629213897634977--Load
1125560359169047362921--Subscript,112556035916904736292181682--Index
112556035916904736292181682--Index,11255603591690473629218168286284--p
11255603591690473629218168286284--p,1125560359169047362921816828628460386--Load
1125560359169047362921--Subscript,112556035916904736292176173--Load
112556035916--If,11255603591682586--AugAssign
11255603591682586--AugAssign,1125560359168258618698--p
1125560359168258618698--p,11255603591682586186982931--Store
11255603591682586--AugAssign,1125560359168258617870--Add
11255603591682586--AugAssign,1125560359168258617769--1
11--If,1170399--For
1170399--For,117039916381--i
117039916381--i,11703991638126778--Store
1170399--For,117039924371--Call
117039924371--Call,11703992437159674--range
11703992437159674--range,1170399243715967480535--Load
117039924371--Call,11703992437119466--n
11703992437119466--n,1170399243711946678115--Load
1170399--For,117039938602--Expr
117039938602--Expr,11703993860212695--Call
11703993860212695--Call,1170399386021269540672--print
1170399386021269540672--print,117039938602126954067243740--Load
11703993860212695--Call,1170399386021269545744--Subscript
1170399386021269545744--Subscript,117039938602126954574488562--a
117039938602126954574488562--a,11703993860212695457448856269945--Load
1170399386021269545744--Subscript,117039938602126954574446297--Index
117039938602126954574446297--Index,11703993860212695457444629770810--i
11703993860212695457444629770810--i,1170399386021269545744462977081091589--Load
1170399386021269545744--Subscript,117039938602126954574499430--Load
11703993860212695--Call,1170399386021269582865--keyword
1170399386021269582865--keyword,117039938602126958286511536-- 
