1--Module,11--If
11864363275313687--UnaryOp,1186436327531368749933--1
118643632753--Call,11864363275376738--UnaryOp
11864363275376738--UnaryOp,1186436327537673824678--USub
11864363275376738--UnaryOp,1186436327537673824650--1
1186436--For,118643667424--If
118643667424--If,11864366742438826--Compare
11864366742438826--Compare,1186436674243882690765--BinOp
1186436674243882690765--BinOp,118643667424388269076576905--i
118643667424388269076576905--i,11864366742438826907657690550328--Load
1186436674243882690765--BinOp,11864366742438826907656459--Mod
1186436674243882690765--BinOp,118643667424388269076576895--2
11864366742438826--Compare,1186436674243882620615--NotEq
11864366742438826--Compare,1186436674243882687330--0
118643667424--If,11864366742477540--Assign
11864366742477540--Assign,1186436674247754075988--Subscript
1186436674247754075988--Subscript,118643667424775407598882043--a
118643667424775407598882043--a,11864366742477540759888204333360--Load
1186436674247754075988--Subscript,118643667424775407598867493--Index
118643667424775407598867493--Index,11864366742477540759886749362495--i
11864366742477540759886749362495--i,1186436674247754075988674936249566311--Load
1186436674247754075988--Subscript,118643667424775407598881354--Store
11864366742477540--Assign,1186436674247754047102--Subscript
1186436674247754047102--Subscript,118643667424775404710255815--b
118643667424775404710255815--b,11864366742477540471025581598808--Load
1186436674247754047102--Subscript,118643667424775404710227397--Index
118643667424775404710227397--Index,11864366742477540471022739779375--q
11864366742477540471022739779375--q,1186436674247754047102273977937574303--Load
1186436674247754047102--Subscript,118643667424775404710241731--Load
118643667424--If,11864366742486923--AugAssign
11864366742486923--AugAssign,1186436674248692348783--q
1186436674248692348783--q,118643667424869234878332744--Store
11864366742486923--AugAssign,1186436674248692372460--Sub
11864366742486923--AugAssign,1186436674248692391854--1
118643667424--If,11864366742425606--Assign
11864366742425606--Assign,1186436674242560681618--Subscript
1186436674242560681618--Subscript,11864366742425606816182007--a
11864366742425606816182007--a,118643667424256068161820073331--Load
1186436674242560681618--Subscript,118643667424256068161849033--Index
118643667424256068161849033--Index,11864366742425606816184903322055--i
11864366742425606816184903322055--i,1186436674242560681618490332205579328--Load
1186436674242560681618--Subscript,118643667424256068161811856--Store
11864366742425606--Assign,1186436674242560686645--Subscript
1186436674242560686645--Subscript,118643667424256068664553006--b
118643667424256068664553006--b,1186436674242560686645530069463--Load
1186436674242560686645--Subscript,118643667424256068664552892--Index
118643667424256068664552892--Index,11864366742425606866455289252747--p
11864366742425606866455289252747--p,1186436674242560686645528925274793101--Load
1186436674242560686645--Subscript,118643667424256068664542484--Load
118643667424--If,11864366742440095--AugAssign
11864366742440095--AugAssign,1186436674244009540941--p
1186436674244009540941--p,118643667424400954094172094--Store
11864366742440095--AugAssign,1186436674244009558786--Add
11864366742440095--AugAssign,1186436674244009554112--1
11--If,1121379--For
1121379--For,112137914571--i
112137914571--i,11213791457122747--Store
1121379--For,112137966984--Call
112137966984--Call,11213796698444910--range
11213796698444910--range,1121379669844491077786--Load
112137966984--Call,11213796698412266--n
11213796698412266--n,11213796698412266684--Load
1121379--For,112137996003--Expr
112137996003--Expr,1121379960038753--Call
1121379960038753--Call,112137996003875336730--print
112137996003875336730--print,11213799600387533673073981--Load
1121379960038753--Call,112137996003875373574--Subscript
112137996003875373574--Subscript,11213799600387537357429507--a
11213799600387537357429507--a,1121379960038753735742950795291--Load
112137996003875373574--Subscript,11213799600387537357451032--Index
11213799600387537357451032--Index,1121379960038753735745103250988--i
1121379960038753735745103250988--i,112137996003875373574510325098860044--Load
112137996003875373574--Subscript,11213799600387537357441524--Load
1121379960038753--Call,11213799600387531053--keyword
11213799600387531053--keyword,1121379960038753105310313-- 
