1--Module,11--FunctionDef:ternarySearch
1189567800844549282970--BinOp,118956780084454928297088374--1
11895678008445492--Call,1189567800844549283107--BinOp
1189567800844549283107--BinOp,118956780084454928310760296--mid2
118956780084454928310760296--mid2,11895678008445492831076029634365--Load
1189567800844549283107--BinOp,118956780084454928310787303--Sub
1189567800844549283107--BinOp,118956780084454928310739154--1
11895678008445492--Call,1189567800844549282054--x
1189567800844549282054--x,118956780084454928205499722--Load
11--FunctionDef:ternarySearch,1116097--Return
1116097--Return,111609769344--UnaryOp
111609769344--UnaryOp,11160976934473129--USub
111609769344--UnaryOp,11160976934421790--1
