119793044128013101314497--sizeof,11979304412801310131449725541--ArrayRef
11943293348045893337005643914685044224234233223--ArrayRef,1194329334804589333700564391468504422423423322333340--arr
1196597558515848430--ParamList,119659755851584843094374--Decl
11979304412801310131449725541--ArrayRef,1197930441280131013144972554136575--0
11959337923158--=,1195933792315883090--*
1194329317464682450624926877113--&,119432931746468245062492687711330050--ArrayRef
11943293348045893337005--If,1194329334804589333700534930--<
1194329317464379705254835798--ArrayRef,119432931746437970525483579820194--arr
1197--FuncDef,119778061--Decl
1193462396753529731--Decl,119346239675352973166775--PtrDecl
1197930445771852049--ExprList,119793044577185204996239--n
119432935148--Decl,11943293514815313--neg
119432931746468245062492688193958040--ArrayRef,1194329317464682450624926881939580401354--pos
11934623967535297316677583846--a,1193462396753529731667758384691394--int
11961256118412801103894--ExprList,1196125611841280110389425075--ArrayRef
1--FileAST,1197--FuncDef
1195839852750826144620524754--PtrDecl,119583985275082614462052475423765--b
11958398527508--FuncDecl,119583985275082614--ParamList
119593379--Compound,11959337965588--=
119441978715927327964839--Decl,11944197871592732796483993112--ArrayDecl
1194419787159273279648399311227760--arr,119441978715927327964839931122776031838--int
11959337923158--=,1195933792315839388--temp
119346239--FuncDecl,11934623965144--swap
1--FileAST,1195--FuncDef
11944197871592--FuncDecl,1194419787159273279--ParamList
1194329317464379707123145313--<,119432931746437970712314531396874--n
119432933480458933370053493083485--ArrayRef,1194329334804589333700534930834851024--j
11943293348049504166826--Decl,119432933480495041668263772--0
119778061668485418--main,11977806166848541817162--int
1194329334804589333700564391468504422--ExprList,119432933480458933370056439146850442242342--&
119659755851584843094374--Decl,11965975585158484309437487320--ArrayDecl
119793044698976767052406---,1197930446989767670524066787--3
119432933480458933--Compound,11943293348045893337005--If
119432931746468245062--FuncCall,11943293174646824506250777--swap
119432933480458933370056439143329--++,11943293348045893337005643914332931622--i
1194419787159273279--ParamList,119441978715927327964839--Decl
1193--Decl,119346239--FuncDecl
119612561--Compound,11961256118412--For
1197930445771852049--ExprList,11979304457718520495373--arr
11961256118412801103894--ExprList,11961256118412801103894452--"%4d "
1195933794527678376--temp,119593379452767837637105--int
1197930447887523791--ExprList,11979304478875237915528--arr
119346239675352973166775--PtrDecl,11934623967535297316677583846--a
1194329317464379707123145313--<,119432931746437970712314531380924--pos
119432933480458933370056439146850--FuncCall,11943293348045893337005643914685063576--swap
11959337965588--=,1195933796558868194--*
119432933480434539--<,11943293348043453912316--n
1194329317464682--Compound,119432931746468288394--+=
1194329317464379705254835798--ArrayRef,119432931746437970525483579830506--neg
119346239675354747635156--PtrDecl,11934623967535474763515638579--b
1196125611841280110--FuncCall,11961256118412801103894--ExprList
119593379--Compound,11959337923158--=
119432931746437970--&&,11943293174643797071231--&&
1197--FuncDef,119793044--Compound
119432933480458933370056439146850442242342--&,11943293348045893337005643914685044224234233223--ArrayRef
1194329334804589333700564391--Compound,119432933480458933370056439146850--FuncCall
11934623967535--ParamList,1193462396753547476--Decl
1194--FuncDef,11943293--Compound
1196--FuncDef,119659755--Decl
11943293174643797071231--&&,1194329317464379707123117036--<
11944197871592732796483993112--ArrayDecl,1194419787159273279648399311227760--arr
11961256118412--For,1196125611841259138--++
1197930446989767670--InitList,119793044698976767085577--6
1197930446989741874--ArrayDecl,119793044698974187457506--arr
11979304457718--FuncCall,1197930445771852049--ExprList
1195933796558889284--*,119593379655888928420329--a
1197930446989767670--InitList,119793044698976767057326--9
1194329334804950416682696168--j,11943293348049504166826961681185--int
119432931746468288394--+=,11943293174646828839425128--2
11965975585158--FuncDecl,1196597558515840439--printArray
1197930446989767670--InitList,11979304469897676704920--8
11944197871592732798785288574--n,1194419787159273279878528857423116--int
11943293622644303--+,1194329362264430320453--1
1--FileAST,1194--FuncDef
11979304457718--FuncCall,1197930445771887414--rearrange
11944197871592--FuncDecl,1194419787159229335--rearrange
11943293--Compound,119432935148--Decl
119432931746468245062--FuncCall,11943293174646824506249268--ExprList
1195--FuncDef,119593379--Compound
11943293348045893337005643914685044224234233223--ArrayRef,1194329334804589333700564391468504422423423322314898--j
1195933792315883090--*,119593379231588309089020--b
1196597558515848430--ParamList,119659755851584843015478--Decl
11979304471344--Return,1197930447134417365--0
119612561184127513529675--Decl,11961256118412751352967583357--i
119441978--Decl,11944197871592--FuncDecl
1197930441280131013--/,119793044128013101314497--sizeof
119583985275082614462052475423765--b,1195839852750826144620524754237656053--int
119793044--Compound,11979304469897--Decl
11965975585158--FuncDecl,1196597558515848430--ParamList
1196--FuncDef,119612561--Compound
1194329317464682450624926881939--&,119432931746468245062492688193958040--ArrayRef
1194329396933--Decl,119432939693325562---
11959337945276--Decl,1195933794527678376--temp
119346239--FuncDecl,11934623967535--ParamList
11979304469897676708920---,1197930446989767670892044014--7
119432931746468288394--+=,11943293174646828839478278--neg
1194329334804--For,119432933480434539--<
11961256118412--For,1196125611841280110--FuncCall
11977806166848--FuncDecl,119778061668485418--main
11979304412801310131449725541--ArrayRef,1197930441280131013144972554191874--arr
1196597558515840439--printArray,119659755851584043987985--void
1197930446989767670--InitList,11979304469897676708920---
11943293174646824506249268--ExprList,1194329317464682450624926881939--&
11965975585158484309437487320--ArrayDecl,1196597558515848430943748732094803--arr
11961256118412--For,1196125611841275135--DeclList
11943293--Compound,1194329317464--While
1195839852750826144007069498--PtrDecl,119583985275082614400706949825740--a
11959337965588--=,1195933796558889284--*
1197930446989767670--InitList,119793044698976767052406---
1194329317464379707123117036--<,119432931746437970712311703627732--pos
11943293622644303--+,1194329362264430353062--i
11979304469897--Decl,1197930446989741874--ArrayDecl
11979304412801--Decl,1197930441280186810--n
119432933480458933370056439146850--FuncCall,1194329334804589333700564391468504422--ExprList
1197930441280131013--/,119793044128013101393198--sizeof
1197930446989767670--InitList,119793044698976767070374---
11934623967535474763515638579--b,119346239675354747635156385795294--int
1194329334804--For,119432933480458933--Compound
11943293--Compound,1194329396933--Decl
1194--FuncDef,119441978--Decl
1196125611841259138--++,119612561184125913818057--i
1194329396933--Decl,119432939693313088--i
11958398527508--FuncDecl,1195839852750814012--swap
119659755--Decl,11965975585158--FuncDecl
11943293--Compound,1194329334804--For
1197930441280186810--n,11979304412801868103564--int
119793044--Compound,11979304457718--FuncCall
1194329334804589333700564391468504422--ExprList,119432933480458933370056439146850442257291--&
11979304478875--FuncCall,1197930447887536542--printArray
1194329334804589333700564391--Compound,119432933480458933370056439143329--++
119793044698974187457506--arr,11979304469897418745750630426--int
119778061--Decl,11977806166848--FuncDecl
119793044698976767070374---,11979304469897676707037482353--1
