11952--Compound,119521--For
11932--Compound,119322--For
1196222--/,11962222--sizeof
119322--For,1193221--DeclList
119626--FuncCall,1196261--printf
119422412122--ArrayRef,1194224121221--arr
11931--Decl,119311--FuncDecl
119624--FuncCall,1196241--printArray
11951--Decl,119511--FuncDecl
1196252--ExprList,11962521--arr
119623--FuncCall,1196231--printf
119323212--++,1193232121--count
1194211--==,11942112--1
11942241111--ArrayRef,119422411112--i
1196242--ExprList,11962422--n
1196272--ExprList,11962721--arr
11942--Compound,119421--If
1196212--InitList,11962121--0
11962--Compound,119623--FuncCall
119422--For,1194223--++
119623--FuncCall,1196232--ExprList
119422411222--+,1194224112222--1
119311--FuncDecl,1193111--ParamList
11962--Compound,119627--FuncCall
119628--Return,1196281--0
1194224121--=,11942241211--ArrayRef
119511--FuncDecl,1195112--printArray
1193224--If,11932241--!=
119322--For,1193223--++
11942241--If,119422412--Compound
119322--For,1193224--If
11932--Compound,119323--While
1195111111--arr,11951111111--int
1194224122--=,11942241222--0
1194224111--!=,11942241112--0
1193224212--++,11932242121--count
1195212--<,11952121--i
1194--FuncDef,11942--Compound
11942241212--*,119422412121--2
1194224112--==,11942241121--ArrayRef
1196262--ExprList,11962621--"\nModified array: "
1193222--<,11932221--i
1--FileAST,1195--FuncDef
