119428304161563492157716--Return,11942830416156349215771658734--minmax
11942830473972--Decl,1194283047397261910--mmr
119428304--Compound,11942830482215--Return
11942830416156475776272--+,1194283041615647577627229023--1
1195348625246843665--FuncCall,119534862524684366522509--getMinMax
11942830424192--If,119428304241927192--=
1195348625246880569--minmax,11953486252468805699690--pair
119428304496224971654275--StructRef,11942830449622497165427578052--minmax
119428304--Compound,11942830424192--If
11942830416156--If,1194283041615634921--Compound
1195348625246843665992835256---,119534862524684366599283525650343--arr_size
1194315752104495396--ParamList,119431575210449539637963--Decl
1194283041615634921--Compound,119428304161563492169661--If
119428304241921110033820--StructRef,11942830424192111003382073602--mmr
119428304881143516465117--=,11942830488114351646511743627--StructRef
119428304860222137630037--ExprList,11942830486022213763003727695--+
1194283048811435164844180960--StructRef,119428304881143516484418096054798--minmax
11953486224154--FuncCall,1195348622415460141--printf
1195--FuncDef,11951961--Decl
11942830416156349216966149706-->,1194283041615634921696614970669593--ArrayRef
1195348624144644498--InitList,119534862414464449862011--330
119428304161563492169661263373375118895--StructRef,11942830416156349216966126337337511889528926--min
11953486237781--Decl,1195348623778149426--6
11942830488114351646511743627--StructRef,1194283048811435164651174362729492--max
119431575210449539619269--Decl,11943157521044953961926951360--low
11942830437326--=,1194283043732655058--mid
1194283047326641987--minmax,119428304732664198758591--pair
1194283041615634921696618082--Compound,119428304161563492169661808266894--=
11942830416156349216966180824849390635--ArrayRef,1194283041615634921696618082484939063532285--high
1195348626993294025--ExprList,119534862699329402594525--"nMaximum element is %d"
1194315752104495396--ParamList,119431575210449539636608--Decl
11953486269932--FuncCall,1195348626993290693--printf
11942830437326--=,1194283043732632870--/
119534862--Compound,11953486237781--Decl
119428304161563492169661--If,11942830416156349216966126337--Compound
119431575--Decl,11943157521044--FuncDecl
119428304496227310160428--StructRef,11942830449622731016042872978--mmr
119428304--Compound,11942830423529--=
119428304161563492169661263373375157442--ArrayRef,11942830416156349216966126337337515744287573--low
11942830486022213763003727695--+,1194283048602221376300372769569979--1
119431575210449539637963--Decl,11943157521044953963796366596--high
119428304496227310164104--StructRef,1194283044962273101641049739--max
1194283043732632870--/,119428304373263287024875--2
1194--FuncDef,119428304--Compound
11953486252468--Decl,1195348625246843665--FuncCall
1194283041615634921696614970669593--ArrayRef,119428304161563492169661497066959396457--low
119428304496224971662018--StructRef,11942830449622497166201841293--mml
119534862--Compound,11953486224154--FuncCall
1194283048983394083--mid,119428304898339408387756--int
119519611438849897--main,11951961143884989775378--int
119428304496224971654275--StructRef,11942830449622497165427542233--max
1194283048811435164--Compound,11942830488114351648441--=
119428304235296061653574--ExprList,11942830423529606165357416384--mid
1194283044962273101--=,119428304496227310160428--StructRef
11942830416156349216966180824849390635--ArrayRef,1194283041615634921696618082484939063517772--arr
11951961--Decl,1195196114388--FuncDecl
119534862524684366599283--ExprList,1195348625246843665992836993--arr
11942830424192--If,1194283042419211100--<
11942830449622--If,1194283044962249716--=
119534862699329402523473--StructRef,11953486269932940252347373735--minmax
119534862524684366599283--ExprList,11953486252468436659928315916--0
11942830424192719221795--StructRef,1194283042419271922179523209--mmr
11942830489833--Decl,1194283048983394083--mid
11953486241446--Decl,1195348624144625474--ArrayDecl
1194283044962211397-->,119428304496221139720953--StructRef
119428304241926567467715--StructRef,11942830424192656746771562865--mml
119428304--Compound,11942830473972--Decl
1194283044962273101--=,119428304496227310164104--StructRef
119428304235296061653574--ExprList,1194283042352960616535743819--low
119534862--Compound,11953486279769--FuncCall
1193--Decl,11934608--Struct
11934608--Struct,1193460838070--Decl
1194283048811435060--==,119428304881143506070208--high
11942830416156349216966180826689493313--StructRef,1194283041615634921696618082668949331353689--minmax
1194315752104495396--ParamList,119431575210449539619269--Decl
1195348624144644498--InitList,119534862414464449885955--1000
11942830488114--If,1194283048811435060--==
119534862241544279757251--StructRef,11953486224154427975725146841--minmax
119428304373263287097341--+,11942830437326328709734124392--low
119428304496221139770207--StructRef,11942830449622113977020757192--mml
11942830473266--Decl,1194283047326641987--minmax
119428304860222137630037--ExprList,11942830486022213763003725764--high
1194--FuncDef,119431575--Decl
119428304161563492169661--If,1194283041615634921696618082--Compound
119428304241927192--=,1194283042419271929951--StructRef
119428304--Compound,11942830488114--If
11953486279769--FuncCall,1195348627976998403--getchar
1194283041615634921--Compound,119428304161563492157716--Return
11943157521044--FuncDecl,1194315752104495396--ParamList
11953486252468--Decl,1195348625246880569--minmax
11953486241446--Decl,1195348624144644498--InitList
1194283044962249716--=,119428304496224971654275--StructRef
11942830416156349216966126337924271902--StructRef,1194283041615634921696612633792427190278472--minmax
119428304241926567467715--StructRef,11942830424192656746771537896--min
119428304241926567484192--StructRef,11942830424192656748419241445--min
11942830449622--If,1194283044962211397-->
1194283041615634921696614970669593--ArrayRef,119428304161563492169661497066959394826--arr
1194283041615647577--==,11942830416156475776272--+
11942830416156349216966180826689464189--ArrayRef,1194283041615634921696618082668946418963027--low
119428304496227310160428--StructRef,1194283044962273101604289852--max
11942830482215--Return,1194283048221535135--minmax
119428304161563492169661263373375157442--ArrayRef,1194283041615634921696612633733751574426127--arr
1194283041615647577--==,119428304161564757752519--high
119534862699329402523473--StructRef,1195348626993294025234734217--max
119428304--Compound,11942830449622--If
11942830488114351642418--Return,1194283048811435164241834161--minmax
11942830416156349216966126337--Compound,1194283041615634921696612633792427--=
1194315752104468103--getMinMax,11943157521044681038497--pair
119534862--Compound,11953486269932--FuncCall
119428304496221139720953--StructRef,11942830449622113972095394520--mmr
1194283043732632870--/,119428304373263287097341--+
1195348624144644498--InitList,119534862414464449884097--1
11942830416156349216966180826689464189--ArrayRef,1194283041615634921696618082668946418927431--arr
119428304881143516465117--=,11942830488114351646511732370--ArrayRef
1194283044962249716--=,119428304496224971662018--StructRef
1194283042419271929951--StructRef,119428304241927192995168629--minmax
119428304161563492169661808266894--=,11942830416156349216966180826689464189--ArrayRef
119346082904833071--max,11934608290483307173882--int
11942830488114351648441--=,1194283048811435164844180960--StructRef
119428304--Compound,11942830489833--Decl
11942830416156349216966126337924271054--ArrayRef,1194283041615634921696612633792427105430867--high
1194283048602221376--FuncCall,119428304860222137699895--getMinMax
1195348622415442797--ExprList,119534862241544279757251--StructRef
1194283041615634921696618082--Compound,119428304161563492169661808248493--=
11953486269932--FuncCall,1195348626993294025--ExprList
119428304--Compound,11942830438870--Decl
119428304241927192--=,11942830424192719221795--StructRef
11942830416156349216966180824849337870--StructRef,1194283041615634921696618082484933787039883--min
1--FileAST,1195--FuncDef
11942830486022213763003727695--+,1194283048602221376300372769560009--mid
119346083807019088--min,11934608380701908877425--int
119534862--Compound,11953486241446--Decl
1195348626993294025--ExprList,119534862699329402523473--StructRef
1193460838070--Decl,119346083807019088--min
1193460829048--Decl,119346082904833071--max
11942830416156349216966126337--Compound,1194283041615634921696612633733751--=
1194283048811435164--Compound,119428304881143516465117--=
11942830416156349216966180826689493313--StructRef,1194283041615634921696618082668949331399418--max
1194283048811435060--==,119428304881143506090583--low
1194315752104495396366082153361487--arr,119431575210449539636608215336148788076--int
1194283043887087726--mml,119428304388708772651655--pair
11934608--Struct,1193460829048--Decl
119534862414462547422009--arr,11953486241446254742200971839--int
1194283041615634921696612633792427--=,11942830416156349216966126337924271902--StructRef
119428304--Compound,11942830437326--=
1194283042419211100--<,119428304241921110084196--StructRef
1194283042352960616--FuncCall,119428304235296061653574--ExprList
1194283041615634921696614970675114--ArrayRef,119428304161563492169661497067511455998--high
11942830449622--If,1194283044962273101--=
11942830488114351648441--=,1194283048811435164844158547--ArrayRef
1194283048811435164844158547--ArrayRef,119428304881143516484415854745326--arr
1194283048811435164844180960--StructRef,119428304881143516484418096021897--min
11942830486022--=,1194283048602221376--FuncCall
11942830416156--If,1194283041615647577--==
119428304241921110084196--StructRef,11942830424192111008419688283--min
11942830438870--Decl,1194283043887087726--mml
1--FileAST,1194--FuncDef
11942830423529--=,1194283042352919861--mml
119428304496227310164104--StructRef,11942830449622731016410456752--minmax
1195348625246843665--FuncCall,119534862524684366599283--ExprList
119428304241926567484192--StructRef,11942830424192656748419234326--minmax
1194283041615634921696612633733751--=,119428304161563492169661263373375118895--StructRef
1194283041615634921696614970675114--ArrayRef,119428304161563492169661497067511423374--arr
119428304496221139770207--StructRef,1194283044962211397702077692--max
11953486224154--FuncCall,1195348622415442797--ExprList
1195348624144644498--InitList,119534862414464449839602--445
119428304--Compound,11942830486022--=
119428304--Compound,11942830473266--Decl
1194283041615634921696612633792427--=,11942830416156349216966126337924271054--ArrayRef
11942830424192719221795--StructRef,1194283042419271922179531087--min
119428304161563492169661808248493--=,11942830416156349216966180824849390635--ArrayRef
1195348624144644498--InitList,119534862414464449845414--11
11943157521044953961926951360--low,119431575210449539619269513603099--int
1194283042419265674--=,119428304241926567467715--StructRef
11942830488114351646511743627--StructRef,1194283048811435164651174362792056--minmax
11942830424192--If,1194283042419265674--=
11942830488114351646511732370--ArrayRef,1194283048811435164651173237093379--low
119428304161563492169661808266894--=,11942830416156349216966180826689493313--StructRef
1195348624144625474--ArrayDecl,119534862414462547422009--arr
119428304235296061653574--ExprList,11942830423529606165357447801--arr
1195348625246843665992835256---,119534862524684366599283525636192--1
