119570908--Compound,11957090862303--For
1193481308029039881--ParamList,11934813080290398813649--Decl
1194240542695027038841871485816585--==,119424054269502703884187148581658527311--ArrayRef
119384757629227032297587--Decl,11938475762922703229758721995--0
11964399915305--Decl,1196439991530534354--n
11934813080290--FuncDecl,1193481308029098308--pushZerosToEnd
11942405426950270388418786981359579837--ArrayRef,1194240542695027038841878698135957983722262--arr
11938475762922703229758773150--i,1193847576292270322975877315088545--int
119476714899525400884259--Decl,11947671489952540088425962047--ArrayDecl
119643999421937225--ExprList,11964399942193722548733--n
1194240542695027038841878698127083715280648--+,119424054269502703884187869812708371528064857516--i
1195709086230390852--FuncCall,119570908623039085296514--printf
1194240542695027038841871485816585--==,119424054269502703884187148581658555334--ArrayRef
119643999--Compound,11964399915305--Decl
11942405426950227883840--Decl,1194240542695022788384057060--0
119570908623039085293585--ExprList,11957090862303908529358552233--ArrayRef
1194240542695027038841878698127083715280648--+,11942405426950270388418786981270837152806483225--1
11942405426950--For,1194240542695021881--<
119424054269502703884187--If,1194240542695027038841878698--Compound
11942405426950270388418714858--&&,1194240542695027038841871485816585--==
1193847576292245245--If,119384757629224524594483--=
119384757506417969--count,11938475750641796934625--int
119348130802903988152061--Decl,11934813080290398815206145446--ArrayDecl
1195709086230316720--<,1195709086230316720445--n
119612868272711583--main,11961286827271158387082--int
1--FileAST,1195--FuncDef
11938475762922452459448378039--ArrayRef,1193847576292245245944837803997715--arr
11964399910228--FuncCall,1196439991022817292--printf
1196439991530592121--/,119643999153059212187023--sizeof
11964399929733688339606--arr,1196439992973368833960674034--int
1194240542695021881--<,119424054269502188146004---
1196439992973368833--ArrayDecl,11964399929733688339606--arr
119643999--Compound,11964399929733--Decl
1195709086230360824--DeclList,119570908623036082492294--Decl
1196439991530592121--/,119643999153059212139238--sizeof
119643999153059212187023--sizeof,11964399915305921218702350282--arr
119424054269502188146004---,1194240542695021881460044848--n
11942405476908--FuncCall,119424054769089507--pushZerosToEnd
119424054269502703884187869813595--=,1194240542695027038841878698135958559--*
11964399915305921213923844315--ArrayRef,1196439991530592121392384431582501--0
1196439992973355451--InitList,119643999297335545175049--0
11942405426950270388418786981270837152--ArrayRef,1194240542695027038841878698127083715280648--+
119424054269502278--DeclList,11942405426950227883840--Decl
1194240547690869851--ExprList,119424054769086985124867--arr
11942405426950270388418714858--&&,1194240542695027038841871485833593--!=
11947671489952--FuncDecl,1194767148995254008--ParamList
11934813080290398815206145446--ArrayDecl,1193481308029039881520614544649183--arr
1193--FuncDef,119348130--Decl
119570908623036082492294--Decl,11957090862303608249229472417--0
1196439994512650921--ExprList,119643999451265092179796--"Original array: "
11942405426950270388418786981359585596534--ArrayRef,1194240542695027038841878698135958559653482617--arr
1195709086230316720--<,119570908623031672088951--i
119424054269502703884187148583359376964--ArrayRef,1194240542695027038841871485833593769644667--i
119476714899525400884259620476317--arr,11947671489952540088425962047631732698--int
11957090862303--For,1195709086230312030--++
11942405426950--For,1194240542695027038--Compound
1--FileAST,1193--FuncDef
11964399965294--FuncCall,1196439996529466056--printArray
119424054269502703884187869813595--=,11942405426950270388418786981359579837--ArrayRef
11942405426950270388418714858165855533475501--+,1194240542695027038841871485816585553347550188485--1
119348130--Decl,11934813080290--FuncDecl
119424054269502703884187869812708--=,11942405426950270388418786981270837152--ArrayRef
119540687--Decl,11954068798322--FuncDecl
11947671489952540088425962047--ArrayDecl,119476714899525400884259620476317--arr
1--FileAST,1194--FuncDef
11954068798322--FuncDecl,1195406879832226785--printArray
1196439996529496649--ExprList,119643999652949664958357--n
119384757629224524594483--=,11938475762922452459448378771--ArrayRef
11938475762922452459448378771--ArrayRef,1193847576292245245944837877182456--i
11938475762922452459448378039--ArrayRef,1193847576292245245944837803933228--++
1194240542695027038841878698135958559--*,11942405426950270388418786981359585596534--ArrayRef
11954068798322631168471477266--ArrayDecl,119540687983226311684714772663130--arr
11964399929733--Decl,1196439992973355451--InitList
1193847576292245245--If,119384757629224524578202--!=
11938475710990868573874--ArrayRef,1193847571099086857387497856--++
11957090862303--For,1195709086230316720--<
1193847576292261638--<,119384757629226163817242--n
11964399914370--FuncCall,1196439991437061858--printArray
119384757109908685--=,11938475710990868512706--0
119643999--Compound,11964399914370--FuncCall
11938475762922--For,1193847576292270322--DeclList
11964399915305921213923844315--ArrayRef,1196439991530592121392384431575941--arr
1196439992973355451--InitList,119643999297335545192513--6
119424054269502703884187148581658527311--ArrayRef,11942405426950270388418714858165852731169798--i
119384757629224524594483--=,11938475762922452459448378039--ArrayRef
11964399945126--FuncCall,1196439994512650921--ExprList
119612868--Decl,11961286827271--FuncDecl
119424054269502703884187148583359376964--ArrayRef,1194240542695027038841871485833593769641285--arr
11954068798322631162600870277--n,1195406879832263116260087027755320--int
1196439991022811880--ExprList,119643999102281188075483--"\nModified array: "
1194767148995254008--ParamList,119476714899525400884259--Decl
1193--FuncDef,119384757--Compound
1194--FuncDef,119424054--Compound
1193481308029039881--ParamList,119348130802903988152061--Decl
1195709086230390852--FuncCall,119570908623039085293585--ExprList
1196439992973355451--InitList,11964399929733554517108--8
11938475710990--While,119384757109908685--=
1194767148995254008--ParamList,119476714899525400814454--Decl
1196439992973355451--InitList,119643999297335545146416--0
11942405426950--For,119424054269502278--DeclList
1194240542695053183--++,119424054269505318353673--i
1195406879832263116--ParamList,119540687983226311684714--Decl
1196439992973355451--InitList,119643999297335545165009--2
1193481308029098308--pushZerosToEnd,119348130802909830882343--void
119476714899525400814454--Decl,11947671489952540081445478168--n
11938475710990868573874--ArrayRef,1193847571099086857387457498--arr
1193847576292270322--DeclList,119384757629227032297587--Decl
1194240542695027038--Compound,119424054269502703884187--If
1196439992973355451--InitList,119643999297335545139208--2
119424054--Compound,11942405476182--If
119384757629224524578202--!=,11938475762922452457820218728--0
119540687983226311684714772663130--arr,11954068798322631168471477266313055124--int
119424054269502703884187869897991--++,11942405426950270388418786989799110758--i
11942405426950--For,1194240542695053183--++
11957090862303908529358552233--ArrayRef,1195709086230390852935855223331924--arr
119643999421937225--ExprList,11964399942193722534521--arr
1195406879832263116--ParamList,119540687983226311626008--Decl
119540687983226311684714--Decl,11954068798322631168471477266--ArrayDecl
1195--FuncDef,119570908--Compound
119424054269502703884187148581658527311--ArrayRef,11942405426950270388418714858165852731140886--arr
11961286827271--FuncDecl,119612868272711583--main
11942405426950270388418714858165855533475501--+,1194240542695027038841871485816585553347550143045--i
119384757--Compound,11938475710990--While
1196439996529496649--ExprList,119643999652949664935021--arr
1194240542695027038841878698--Compound,119424054269502703884187869897991--++
1196--FuncDef,119643999--Compound
1194240542695027038841871485833593--!=,119424054269502703884187148583359369672--0
119476714--Decl,11947671489952--FuncDecl
1193847576292245245782027721--ArrayRef,119384757629224524578202772129922--arr
1193847576292261638--<,119384757629226163868845--i
11942405476182--If,1194240547618288164--Return
11947671489952540081445478168--n,1194767148995254008144547816852486--int
119424054269502703884187148581658555334--ArrayRef,11942405426950270388418714858165855533449839--arr
1194--FuncDef,119476714--Decl
119540687983226311626008--Decl,11954068798322631162600870277--n
